Column1,Food,Serving,calories
,Chicken Marsala,1 serving (2301 g),2209
,Goulash,1 serving (187 g),1887
,Burger King Triple Whopper,1 burger (547 g),1471
x,Burger King Double Whopper with Cheese,1 sandwich (399 g),994
x,Veggie Patty,1 sandwich (247 g),963
x,Flaxseed,1 cup (168 g),897
,Burger King Double Whopper,1 burger (374 g),894
,Durian,1 durian (602 g),885
,Calzone,1 calzone (364 g),841
,Wendy’s Baconator,1 burger (276 g),839
,Freekeh,1 cup (160 g),832
x,Sunflower Seeds,1 cup (140 g),818
x,Kebab,1 kebab (360 g),774
,Burger King Whopper with Cheese,1 burger (315 g),759
x,Brown Rice,1 cup (195 g),757
,Burger King Angry Whopper,1 burger (290 g),740
,Meatloaf,1 loaf (284 g),721
,Amaranth,1 cup (193 g),716
x,Beef Pizza,1 slice (235 g),714
,Wendy’s Son of Baconator,1 burger (218 g),700
x,Mac and Cheese,1 serving (189 g),699
x,Macaroni and Cheese,1 serving (189 g),699
x,Chicken Pot Pie,1 pie (302 g),673
,Burger King Whopper,1 burger (291 g),672
,Whopper,1 burger (291 g),672
,Brown Rice,1 cup (185 g),670
x,Fried Rice,1 serving (356 g),662
,Burger King Original Chicken Sandwich,1 sandwich (219 g),659
x,Couscous,1 cup (173 g),650
,Reuben Sandwich,1 sandwich (308 g),641
,Arby’s Reuben,1 sandwich (308 g),641
,Cobb Salad,1 serving (536 g),632
,Kamut,1 cup (186 g),627
x,Quinoa,1 cup (170 g),626
,Mushroom Pizza,1 slice (288 g),611
x,Spelt Semolina,1 cup (167 g),601
x,Wheat Semolina,1 cup (167 g),601
x,Buffalo Chicken Pizza,1 slice (238 g),600
,BLT,1 item (240 g),593
,Burger King Premium Alaskan Fish Sandwich,1 burger (228 g),591
,Spelt,1 cup (174 g),588
x,Fish and Chips,1 serving (300 g),585
,Chop Suey,1 serving (340 g),585
,Fish and Chips,1 serving (300 g),585
,Buckwheat,1 cup (170 g),583
x,Nachos with Cheese,10 nachos (188 g),575
x,White Pizza,1 slice (232 g),571
,Buckwheat Groats,1 cup (164 g),567
x,Corn,1 cup (154 g),562
x,McDonald’s Big Mac,1 burger (219 g),561
,Barley,1 cup (157 g),556
,Pearl Barley,1 cup (157 g),553
,Pulled Pork Sandwich,1 sandwich (261 g),551
,Polenta,1 cup (150 g),549
,Bacon and Eggs,1 serving (214 g),539
x,Cottage Pie,1 pie (376 g),523
,Millet Flour,1 cup (140 g),521
,Big N’ Tasty,1 sandwich (232 g),517
x,Zinger,1 sandwich (202 g),517
,Zinger Burger,1 sandwich (202 g),517
,Poutine,1 serving (225 g),511
,Cellophane Noodles,1 cup (140 g),491
,Butter Chicken,1 tray (350 g),490
,Arby’s Grand Turkey Club,1 sandwich (233 g),489
,Cornstarch,1 cup (128 g),488
,Biryani,1 cup (275 g),484
,Millet,1 cup (128 g),484
,Meatball Sandwich,1 sandwich (299 g),481
,Spicy Italian,1 sandwich (219 g),480
,Tortilla,1 tortilla (197 g),467
,Bianca Pizza,1 slice (187 g),460
,Pineapple,1 pineapple (905 g),453
,Pineapple,1 pineapple (905 g),453
,Chicken Pizziola,1 sandwich (320 g),451
,McDonald’s McRib,1 sandwich (170 g),451
,McRib,1 sandwich (170 g),451
,Carvel,1 cup (212 g),449
,Cornmeal,1 cup (122 g),442
,Corn Dog,1 item (175 g),438
,McDonald’s Double Cheeseburger,1 burger (155 g),437
,Hummus,1 cup (246 g),435
,Raisins,1 cup (145 g),434
,Wheat Germ,1 cup (113 g),432
,Fish Sandwich,1 sandwich (158 g),431
,Chicken Fried Steak,1 steak (280 g),423
,Rye Bran,1 cup (150 g),422
,Macaroni,1 cup (114 g),422
,Orange Chicken,1 serving (162 g),420
,Wendy’s Jr. Bacon Cheeseburger,1 burger (161 g),420
,Chimichanga,1 item (180 g),418
,Double Cheeseburger,1 burger (155 g),414
