Row Labels,Sum of Meningitis,Sum of Parkinsons,Sum of Alzheimers,Sum of Nutritional deficiencies,Sum of Malaria,Sum of HIV/AIDS,Sum of Drug use,Sum of Cardiovascular diseases,Sum of Lower respiratory infections,Sum of Alcohol use disorders,Sum of Self-harm,Sum of Diarrheal,Sum of Chronic kidney disease,Sum of Diabetes mellitus,Sum of Protein-energy malnutrition,Sum of Digestive diseases,Sum of  Cirrhosis and other chronic liver diseases,Sum of Chronic respiratory diseases
1990,2354803,912493,3527668,4189623,4373799,1782266,343382,73317489,18798536,703105,4454415,15926583,3545870,3956690,3606265,10964273,5935866,18430814
1991,2331978,935276,3672556,4034113,4465232,2278159,378610,74181382,18595921,738879,4534944,15964924,3619217,4065737,3465617,11098854,6019111,18764819
1992,2314816,959441,3818192,3869196,4443734,2848338,408787,75357893,18454251,793026,4636346,15804184,3714473,4195399,3320967,11247227,6109474,19115256
1993,2280474,992234,3970130,3718012,4461759,3498326,438126,77444663,18277611,865434,4761812,15379805,3815196,4346646,3195381,11456553,6253056,19467246
1994,2238561,1017215,4114523,3578215,4417401,4208727,469553,78663693,18044634,924334,4910835,15025205,3921141,4479747,3082274,11616550,6375202,19645019
1995,2212407,1045252,4259451,3927556,4444881,4928790,489713,79194696,17825650,940237,4953819,14650887,4030872,4607893,3454189,11709888,6458879,19740466
1996,2242353,1075854,4397229,3653961,4489405,5545375,500820,79615260,17496175,937407,4914585,14324100,4155206,4755466,3203460,11771421,6517384,19918468
1997,2155338,1110110,4526334,3517494,4590020,6096781,507177,80300365,17250133,931810,4929454,14130797,4315184,4924561,3083574,11885634,6596548,20160568
1998,2111071,1146124,4659756,3362642,4620970,6774501,523596,80977919,16976993,937364,4974952,13945882,4484043,5080560,2954521,11981938,6669447,20286179
1999,2089162,1186319,4802206,3208493,4560689,7509765,538814,82431609,16691511,963368,5038830,13688044,4646227,5227584,2829761,12119916,6765897,20401834
2000,2063739,1229240,4958160,3068055,4483813,8159039,554268,83706310,16361950,996292,5026094,13383612,4824220,5379896,2709591,12263784,6871837,20581035
2001,2027667,1276829,5133522,2924703,4640096,8724429,541595,84975413,15973483,1025083,4915541,13046438,4993740,5549905,2584217,12428766,7000652,20679344
2002,1982423,1331070,5329136,2786217,4728796,9194740,528029,86760916,15732313,1052579,4858346,12689171,5181765,5759773,2468197,12640270,7157069,20829475
2003,1960712,1376655,5525862,2269531,4879047,9550151,515030,87905806,15491527,1074485,4879357,12311131,5349481,5932061,1975593,12813533,7294723,20841542
2004,1928879,1409367,5725649,2140307,4885032,9759485,514077,87947887,15203468,1084266,4906310,11891798,5470749,6026687,1864776,12885048,7371906,20661942
2005,1919251,1463786,5954832,2045480,4777214,9727635,534946,89340121,15107179,1092090,4947871,11680386,5674006,6215841,1778776,13110068,7530472,20763980
2006,1900683,1502393,6184401,1969205,4784573,9411384,539193,89231086,14923656,1069572,4876509,11594310,5826056,6325888,1705936,13160330,7563821,20656972
2007,1866011,1550473,6434009,1888543,4772551,8906713,543334,89910481,14767701,1048152,4807665,11422934,6000006,6447368,1630616,13252828,7629046,20699617
2008,1816876,1611788,6704657,1826534,4729669,8334064,551167,91545798,14700724,1035233,4779646,11258763,6214726,6617822,1570934,13423360,7737528,20964518
2009,1780584,1657082,6979354,1758732,4651419,7766347,552312,92395649,14524722,1007551,4712726,10875381,6383184,6729966,1511193,13419470,7734814,20895664
2010,1726638,1708849,7270732,1752939,4616228,7285531,559866,94043681,14391313,994040,4703782,10614240,6583515,6858363,1508479,13524091,7790003,20969364
2011,1653055,1760573,7553468,1712147,4412701,6845368,569553,95227215,14310761,977295,4659531,10485038,6798869,7041367,1468869,13629495,7834648,21154906
2012,1587529,1814371,7841297,1631018,4078027,6382446,581517,96441492,14318861,966277,4596260,10112035,6998058,7262425,1388762,13702861,7861611,21278719
2013,1532431,1877650,8131882,1595839,3793809,5994515,606634,97867969,14397233,963597,4525456,9854131,7225512,7495709,1356848,13816544,7887169,21598676
2014,1482088,1934760,8432805,1558371,3669411,5712065,639440,99163807,14375797,966836,4457410,9499291,7420080,7739911,1322087,13899530,7906970,21839783
2015,1414744,1989260,8750051,1528181,3566335,5488747,681838,101314000,14398268,975355,4438763,9241698,7655679,8002239,1295103,14132866,8027337,22081572
2016,1376971,2042856,9098828,1497371,3337800,5322250,733765,103119510,14310670,983530,4437460,9020536,7877801,8269421,1266928,14334905,8135271,22375949
2017,1314269,2094312,9452045,1466358,3179371,5064869,770900,104792518,14167454,986292,4438242,8984105,8029553,8512177,1237449,14553623,8256557,22699137
2018,1270857,2167678,9813596,1419063,3193044,4771438,801612,107351047,14194124,1002890,4504680,8701468,8243984,8785584,1192948,14774301,8380839,23248429
2019,1241573,2237101,10141876,1385562,3250790,4613902,833990,109968781,14249200,1017034,4523263,8467166,8473060,9065482,1162346,15016576,8515469,23767367
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
