Death,Year,Amount
Meningitis,1990,124157.3
Meningitis,1991,127085.7
Meningitis,1992,131426.9
Meningitis,1993,137697.1
Meningitis,1994,141474.4
Meningitis,1995,148208.8
Meningitis,1996,153243.1
Meningitis,1997,158752.9
Meningitis,1998,165305.5
Meningitis,1999,172663.8
Meningitis,2000,178058.4
Meningitis,2001,181687.6
Meningitis,2002,186601.1
Meningitis,2003,190068.3
Meningitis,2004,191925.1
Meningitis,2005,192887.9
Meningitis,2006,196071.2
Meningitis,2007,198242.3
Meningitis,2008,202766.7
Meningitis,2009,206373.9
Meningitis,2010,208916.2
Meningitis,2011,211107.1
Meningitis,2012,215533.8
Meningitis,2013,224235.3
Meningitis,2014,235480.3
Meningitis,2015,233197.8
Meningitis,2016,231481.6
Meningitis,2017,228047.4
Meningitis,2018,223856.1
Meningitis,2019,221240.7
Alzheimers,1990,411452.3
Alzheimers,1991,397013
Alzheimers,1992,381819.2
Alzheimers,1993,367255.6
Alzheimers,1994,352766.8
Alzheimers,1995,439722.9
Alzheimers,1996,452633.4
Alzheimers,1997,465975.6
Alzheimers,1998,480220.6
Alzheimers,1999,495816
Alzheimers,2000,513352.2
Alzheimers,2001,532913.6
Alzheimers,2002,552586.2
Alzheimers,2003,572564.9
Alzheimers,2004,595483.2
Alzheimers,2005,618440.1
Alzheimers,2006,643400.9
Alzheimers,2007,670465.7
Alzheimers,2008,697935.4
Alzheimers,2009,727073.2
Alzheimers,2010,755346.8
Alzheimers,2011,784129.7
Alzheimers,2012,813188.2
Alzheimers,2013,843280.5
Alzheimers,2014,875005.1
Alzheimers,2015,909882.8
Alzheimers,2016,945204.5
Alzheimers,2017,981359.6
Alzheimers,2018,1014187.6
Alzheimers,2019,1014187.6
Parkinsons,1990,104525.2
Parkinsons,1991,101721.5
Parkinsons,1992,99223.4
Parkinsons,1993,95944.1
Parkinsons,1994,93527.6
Parkinsons,1995,91249.3
Parkinsons,1996,107585.4
Parkinsons,1997,111011
Parkinsons,1998,114612.4
Parkinsons,1999,118631.9
Parkinsons,2000,122924
Parkinsons,2001,127682.9
Parkinsons,2002,133107
Parkinsons,2003,137665.5
Parkinsons,2004,140936.7
Parkinsons,2005,146378.6
Parkinsons,2006,150239.3
Parkinsons,2007,155047.3
Parkinsons,2008,161178.8
Parkinsons,2009,165708.2
Parkinsons,2010,170884.9
Parkinsons,2011,176057.3
Parkinsons,2012,181437.1
Parkinsons,2013,187765
Parkinsons,2014,193476
Parkinsons,2015,198926
Parkinsons,2016,204285.6
Parkinsons,2017,209431.2
Parkinsons,2018,216767.8
Parkinsons,2019,223710.1
Nutritional deficiencies,1990,392755.6
Nutritional deficiencies,1991,357821.5
Nutritional deficiencies,1992,371801.2
Nutritional deficiencies,1993,386919.6
Nutritional deficiencies,1994,403411.3
Nutritional deficiencies,1995,418962.3
Nutritional deficiencies,1996,365396.1
Nutritional deficiencies,1997,351749.4
