Death,Year,Amount
Sum of Meningitis,1990,235480
Sum of Parkinsons,1990,91249
Sum of Alzheimers,1990,352767
Sum of Nutritional deficiencies,1990,418962
Sum of Malaria,1990,437380
Sum of HIV/AIDS,1990,178227
Sum of Drug use,1990,34338
Sum of Cardiovascular diseases,1990,7331749
Sum of Lower respiratory infections,1990,1879854
Sum of Alcohol use disorders,1990,70311
Sum of Self-harm,1990,445442
Sum of Diarrheal,1990,1592658
Sum of Chronic kidney disease,1990,354587
Sum of Diabetes mellitus,1990,395669
Sum of Protein-energy malnutrition,1990,360627
Sum of Digestive diseases,1990,1096427
Sum of  Cirrhosis and other chronic liver diseases,1990,593587
Sum of Chronic respiratory diseases,1990,1843081
Sum of Meningitis,1991,233198
Sum of Parkinsons,1991,93528
Sum of Alzheimers,1991,367256
Sum of Nutritional deficiencies,1991,403411
Sum of Malaria,1991,446523
Sum of HIV/AIDS,1991,227816
Sum of Drug use,1991,37861
Sum of Cardiovascular diseases,1991,7418138
Sum of Lower respiratory infections,1991,1859592
Sum of Alcohol use disorders,1991,73888
Sum of Self-harm,1991,453494
Sum of Diarrheal,1991,1596492
Sum of Chronic kidney disease,1991,361922
Sum of Diabetes mellitus,1991,406574
Sum of Protein-energy malnutrition,1991,346562
Sum of Digestive diseases,1991,1109885
Sum of  Cirrhosis and other chronic liver diseases,1991,601911
Sum of Chronic respiratory diseases,1991,1876482
Sum of Meningitis,1992,233198
Sum of Parkinsons,1992,93528
Sum of Alzheimers,1992,367256
Sum of Nutritional deficiencies,1992,403411
Sum of Malaria,1992,446523
Sum of HIV/AIDS,1992,227816
Sum of Drug use,1992,37861
Sum of Cardiovascular diseases,1992,7418138
Sum of Lower respiratory infections,1992,1859592
Sum of Alcohol use disorders,1992,73888
Sum of Self-harm,1992,453494
Sum of Diarrheal,1992,1596492
Sum of Chronic kidney disease,1992,361922
Sum of Diabetes mellitus,1992,406574
Sum of Protein-energy malnutrition,1992,346562
Sum of Digestive diseases,1992,1109885
Sum of  Cirrhosis and other chronic liver diseases,1992,601911
Sum of Chronic respiratory diseases,1992,1876482
Sum of Meningitis,1993,231482
Sum of Parkinsons,1993,95944
Sum of Alzheimers,1993,381819
Sum of Nutritional deficiencies,1993,386920
Sum of Malaria,1993,444373
Sum of HIV/AIDS,1993,284834
Sum of Drug use,1993,40879
Sum of Cardiovascular diseases,1993,7535789
Sum of Lower respiratory infections,1993,1845425
Sum of Alcohol use disorders,1993,79303
Sum of Self-harm,1993,463635
Sum of Diarrheal,1993,1580418
Sum of Chronic kidney disease,1993,371447
Sum of Diabetes mellitus,1993,419540
Sum of Protein-energy malnutrition,1993,332097
Sum of Digestive diseases,1993,1124723
Sum of  Cirrhosis and other chronic liver diseases,1993,610947
Sum of Chronic respiratory diseases,1993,1911526
Sum of Meningitis,1994,228047
Sum of Parkinsons,1994,99223
Sum of Alzheimers,1994,397013
Sum of Nutritional deficiencies,1994,371801
