,Food,Serving,calories,Inflamatory
x,Burger King Double Whopper with Cheese,1 sandwich (399 g),994,10
x,Veggie Patty,1 sandwich (247 g),963,10
x,Flaxseed,1 cup (168 g),897,1
x,Kebab,1 kebab (360 g),774,9
x,Brown Rice,1 cup (195 g),757,5
x,Beef Pizza,1 slice (235 g),714,8
x,Mac and Cheese,1 serving (189 g),699,8
x,Macaroni and Cheese,1 serving (189 g),699,7.8
x,Chicken Pot Pie,1 pie (302 g),673,7
x,Fried Rice,1 serving (356 g),662,8
x,Spelt Semolina,1 cup (167 g),601,6
x,Wheat Semolina,1 cup (167 g),601,6.5
x,Buffalo Chicken Pizza,1 slice (238 g),600,6.7
x,Fish and Chips,1 serving (300 g),585,9
x,Nachos with Cheese,10 nachos (188 g),575,9
x,White Pizza,1 slice (232 g),571,6
x,Corn,1 cup (154 g),562,6
x,McDonaldâ€™s Big Mac,1 burger (219 g),561,10
x,Cottage Pie,1 pie (376 g),523,3
x,Zinger,1 sandwich (202 g),517,10
,Vegetable oil,1 serving (30ml),300,10
,Olive oil,1 serving(30ml),300,1
