ID,Entity,Code,Year,Death,Calories,Obese,Population__historical_estimates_,Continent,Column1,Column2,Column3,,Asia,,,,,3682,#REF!,,,
Afghanistan2019,Afghanistan,AFG,2019,12.34,2040,13.2,37769496,Asia,"""","""","""Afghanistan"",",,Asia,,,,,,,,,
United Arab Emirates2019,United Arab Emirates,ARE,2019,24.3,3314,67.7,9211660,Asia,,,"""United Arab Emirates"",",,South America,,,,,,,,,
Argentina2019,Argentina,ARG,2019,10.38,3307,66.6,44745516,South America,,,"""Argentina"",",,Oceania,,,,,,,,,
Australia2019,Australia,AUS,2019,18.5,3391,75,25357168,Oceania,,,"""Australia"",",,Asia,,,,,,,,,
Bangladesh2019,Bangladesh,BGD,2019,4.66,2563,14.1,165516224,Asia,,,"""Bangladesh"",",,South America,,,,,,,,,
Brazil2019,Brazil,BRA,2019,12.03,3301,55.2,211782880,South America,,,"""Brazil"",",,Africa,,,,,,,,,
Central African Republic2019,Central African Republic,CAF,2019,2.82,1786,12.7,5209329,Africa,,,"""Central African Republic"",",,North America,,,,,,,,,
Canada2019,Canada,CAN,2019,10.02,3566,69,37522584,North America,,,"""Canada"",",,Europe,,,,,,,,,
Switzerland2019,Switzerland,CHE,2019,8.31,3354,64.3,8575593,Europe,,,"""Switzerland"",",,Asia,,,,,,,,,
China2019,China,CHN,2019,6.39,3206,38.7,1421864064,Asia,,,"""China"",",,Africa,,,,,,,,,
Congo2019,Congo,COG,2019,9.56,2285,22.2,5570736,Africa,,,"""Congo"",",,South America,,,,,,,,,
Colombia2019,Colombia,COL,2019,10.23,3114,54.2,50187404,South America,,,"""Colombia"",",,Africa,,,,,,,,,
Egypt2019,Egypt,EGY,2019,21.27,3292,55.5,105618672,Africa,,,"""Egypt"",",,Europe,,,,,,,,,
Spain2019,Spain,ESP,2019,9.63,3322,67.1,47131372,Europe,,,"""Spain"",",,Africa,,,,,,,,,
Ethiopia2019,Ethiopia,ETH,2019,3.76,2338,10.3,114120592,Africa,,,"""Ethiopia"",",,Oceania,,,,,,,,,
Fiji2019,Fiji,FJI,2019,27.55,2781,59,918472,Oceania,,,"""Fiji"",",,Europe,,,,,,,,,
France2019,France,FRA,2019,7.51,3502,66.9,64399760,Europe,,,"""France"",",,Europe,,,,,,,,,
United Kingdom2019,United Kingdom,GBR,2019,9.11,3344,67.7,66778660,Europe,,,"""United Kingdom"",",,Europe,,,,,,,,,
Greece2019,Greece,GRC,2019,10.6,3382,66.7,10574026,Europe,,,"""Greece"",",,North America,,,,,,,,,
Guatemala2019,Guatemala,GTM,2019,9.24,2551,48.1,17106338,North America,,,"""Guatemala"",",,Asia,,,,,,,,,
