Risk,Year,Amount
Outdoor air pollution,1990,1357022.6
Outdoor air pollution,1991,1381202.5
Outdoor air pollution,1992,1413536.6
Outdoor air pollution,1993,1459656
Outdoor air pollution,1994,1495553.6
Outdoor air pollution,1995,1519777.8
Outdoor air pollution,1996,1543595.6
Outdoor air pollution,1997,1583289.2
Outdoor air pollution,1998,1617404.4
Outdoor air pollution,1999,1669063.1
Outdoor air pollution,2000,1706951
Outdoor air pollution,2001,1743335.7
Outdoor air pollution,2002,1786365.7
Outdoor air pollution,2003,1826827
Outdoor air pollution,2004,1852419.1
Outdoor air pollution,2005,1894604.9
Outdoor air pollution,2006,1924458.7
Outdoor air pollution,2007,1977951
Outdoor air pollution,2008,2053759
Outdoor air pollution,2009,2097515.6
Outdoor air pollution,2010,2156532.4
Outdoor air pollution,2011,2216722.4
Outdoor air pollution,2012,2278393.1
Outdoor air pollution,2013,2347736.3
Outdoor air pollution,2014,2398318.1
Outdoor air pollution,2015,2449440.7
Outdoor air pollution,2016,2463974.1
Outdoor air pollution,2017,2474602
Outdoor air pollution,2018,2534531.5
Outdoor air pollution,2019,2629852.6
High blood pressure,1990,4135389.4
High blood pressure,1991,4190584.1
High blood pressure,1992,4263425.4
High blood pressure,1993,4387436
High blood pressure,1994,4461941.4
High blood pressure,1995,4495798.1
High blood pressure,1996,4522933.3
High blood pressure,1997,4565288.3
High blood pressure,1998,4605848.7
High blood pressure,1999,4689451.9
High blood pressure,2000,4761650.8
High blood pressure,2001,4833983.6
High blood pressure,2002,4935647.8
High blood pressure,2003,4998909.5
High blood pressure,2004,4998492.2
High blood pressure,2005,5081048.5
High blood pressure,2006,5089677.2
High blood pressure,2007,5145267.6
High blood pressure,2008,5254737.8
High blood pressure,2009,5319567
High blood pressure,2010,5428874.1
High blood pressure,2011,5512245.8
High blood pressure,2012,5596434.3
High blood pressure,2013,5683469
High blood pressure,2014,5764764.5
High blood pressure,2015,5898496.7
High blood pressure,2016,6009255.8
High blood pressure,2017,6101881.8
High blood pressure,2018,6242480.7
High blood pressure,2019,6394823.6
Diet high in sodium,1990,793263
Diet high in sodium,1991,799308.5
Diet high in sodium,1992,808879.7
Diet high in sodium,1993,822235.7
Diet high in sodium,1994,827995.6
Diet high in sodium,1995,830400.3
Diet high in sodium,1996,831301.1
Diet high in sodium,1997,832597
Diet high in sodium,1998,834143.2
Diet high in sodium,1999,845801.9
Diet high in sodium,2000,861342
Diet high in sodium,2001,873346.4
Diet high in sodium,2002,892340.8
Diet high in sodium,2003,906484
Diet high in sodium,2004,914113.1
Diet high in sodium,2005,924163.3
Diet high in sodium,2006,917347.1
Diet high in sodium,2007,921999
